CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
553927836,05/06/2007,22:02:00,05/06/2007,22:02:00,05/06/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,,STREET,NA,,1001586,192569,40.69522543,-73.937484453,"(40.69522543, -73.937484453)"
124915508,05/04/2007,17:00:00,05/04/2007,17:02:00,05/04/2007,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,52,,STREET,NA,,1012468,255066,40.866734986,-73.897979391,"(40.866734986, -73.897979391)"
656422576,04/25/2007,16:30:00,,,04/30/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE-HOUSE,NA,,1018434,238489,40.821214929,-73.87649387,"(40.821214929, -73.87649387)"
866667609,04/13/2007,08:00:00,04/14/2007,09:00:00,04/29/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE-HOUSE,NA,,995179,159439,40.604301001,-73.960643014,"(40.604301001, -73.960643014)"
134339742,04/28/2007,11:40:00,04/28/2007,11:45:00,04/28/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,61,INSIDE,RESIDENCE-HOUSE,NA,,998054,150010,40.578416273,-73.950308588,"(40.578416273, -73.950308588)"
170475335,04/27/2007,23:06:00,,,04/28/2007,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,FRONT OF,STREET,NA,,1004405,253314,40.861948368,-73.927136388,"(40.861948368, -73.927136388)"
132894787,04/27/2007,21:53:00,04/27/2007,22:08:00,04/28/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,62,,STREET,NA,,986299,157302,40.59844187,-73.992623057,"(40.59844187, -73.992623057)"
352364708,04/24/2007,14:50:00,04/24/2007,15:15:00,04/25/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,52,,STREET,NA,,1011964,254800,40.866006494,-73.8998027,"(40.866006494, -73.8998027)"
825199393,04/24/2007,22:30:00,04/24/2007,22:40:00,04/24/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,71,INSIDE,RESIDENCE - APT. HOUSE,NA,,995051,182475,40.667530079,-73.961067109,"(40.667530079, -73.961067109)"
761670561,04/24/2007,15:00:00,04/24/2007,15:05:00,04/24/2007,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,BRONX,49,,STREET,NA,,1022427,250586,40.854401294,-73.861998236,"(40.854401294, -73.861998236)"
301332943,04/24/2007,09:40:00,04/24/2007,10:15:00,04/24/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,,STREET,NA,,988399,156296,40.595679869,-73.985061645,"(40.595679869, -73.985061645)"
470841415,04/02/2007,16:30:00,04/03/2007,13:10:00,04/24/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,FRONT OF,RESIDENCE-HOUSE,NA,,1014049,184261,40.672388689,-73.892577223,"(40.672388689, -73.892577223)"
929152790,04/23/2007,14:05:00,,,04/23/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48,INSIDE,RESIDENCE-HOUSE,NA,,1014342,246625,40.843560783,-73.891241849,"(40.843560783, -73.891241849)"
342970871,04/22/2007,10:00:00,04/22/2007,23:50:00,04/23/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE-HOUSE,NA,,1010352,247469,40.84589001,-73.905659355,"(40.84589001, -73.905659355)"
776470380,04/21/2007,03:30:00,04/21/2007,04:00:00,04/21/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,115,,STREET,NA,,1016155,211645,40.747543879,-73.884855425,"(40.747543879, -73.884855425)"
607214257,04/21/2007,00:30:00,04/21/2007,03:30:00,04/21/2007,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,RESIDENCE - APT. HOUSE,NA,,1001746,245819,40.841382488,-73.936768853,"(40.841382488, -73.936768853)"
473791926,04/20/2007,17:00:00,04/21/2007,08:15:00,04/21/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,NA,,1005357,247708,40.846559347,-73.923712335,"(40.846559347, -73.923712335)"
518210925,04/19/2007,07:45:00,04/19/2007,07:50:00,04/20/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,,STREET,NA,,1007857,171367,40.637016165,-73.914944256,"(40.637016165, -73.914944256)"
714675357,04/18/2007,00:10:00,04/18/2007,00:16:00,04/18/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE - APT. HOUSE,NA,,995849,172757,40.64085528,-73.958207273,"(40.64085528, -73.958207273)"
823667599,04/17/2007,07:45:00,04/17/2007,07:55:00,04/17/2007,124,KIDNAPPING & RELATED OFFENSES,185,KIDNAPPING 2,ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,81,FRONT OF,STREET,NA,,1001668,189305,40.686266341,-73.937197184,"(40.686266341, -73.937197184)"
405770683,04/15/2007,02:15:00,,,04/15/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,73,,STREET,NA,,1008845,184144,40.672083537,-73.911337851,"(40.672083537, -73.911337851)"
707769241,04/06/2007,14:00:00,,,04/13/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,76,INSIDE,SHOE,NA,,985913,190166,40.688646569,-73.994004936,"(40.688646569, -73.994004936)"
489051056,04/09/2007,08:00:00,,,04/11/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,INSIDE,RESIDENCE-HOUSE,NA,,1050944,182530,40.667436432,-73.759589811,"(40.667436432, -73.759589811)"
414429112,04/01/2007,18:00:00,04/01/2007,18:10:00,04/09/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,70,INSIDE,RESIDENCE-HOUSE,NA,,993691,172242,40.639444278,-73.965983819,"(40.639444278, -73.965983819)"
424236431,03/02/2007,08:00:00,04/08/2007,16:50:00,04/08/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,FRONT OF,RESIDENCE-HOUSE,NA,,1034455,237233,40.817691043,-73.818619161,"(40.817691043, -73.818619161)"
338190058,04/07/2007,17:30:00,04/07/2007,18:55:00,04/07/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE - APT. HOUSE,NA,,1006195,194850,40.701476014,-73.920856078,"(40.701476014, -73.920856078)"
194554832,04/05/2007,16:30:00,,,04/06/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,45,INSIDE,RESIDENCE-HOUSE,NA,,1029838,247599,40.846167721,-73.835229127,"(40.846167721, -73.835229127)"
169512736,03/12/2007,08:00:00,,,04/06/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,40,OPPOSITE OF,RESIDENCE - APT. HOUSE,NA,,1005947,235372,40.812699137,-73.921619736,"(40.812699137, -73.921619736)"
187140696,04/03/2007,19:00:00,04/03/2007,19:09:00,04/03/2007,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,71,,STREET,NA,,996303,178807,40.657460613,-73.956560585,"(40.657460613, -73.956560585)"
528499411,04/03/2007,13:00:00,04/03/2007,13:10:00,04/03/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,NA,,999010,241300,40.828984136,-73.946667019,"(40.828984136, -73.946667019)"
506103227,04/01/2007,10:00:00,04/01/2007,13:00:00,04/02/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,HOSPITAL,NA,,995159,221254,40.773968945,-73.960614956,"(40.773968945, -73.960614956)"
404787014,03/30/2007,19:50:00,03/30/2007,23:00:00,03/31/2007,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,49,FRONT OF,RESIDENCE - APT. HOUSE,NA,,1021917,251015,40.855580961,-73.863839384,"(40.855580961, -73.863839384)"
991933633,03/30/2007,19:00:00,03/30/2007,19:05:00,03/30/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103,INSIDE,RESIDENCE-HOUSE,NA,,1040430,192057,40.693658778,-73.79741002,"(40.693658778, -73.79741002)"
999963628,03/30/2007,15:15:00,03/30/2007,16:40:00,03/30/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,COMMERCIAL BUILDING,NA,,985802,213781,40.753464076,-73.994399743,"(40.753464076, -73.994399743)"
757945308,03/29/2007,03:00:00,03/29/2007,03:30:00,03/29/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,NA,,1002283,251933,40.858162529,-73.934811629,"(40.858162529, -73.934811629)"
924847939,03/25/2007,18:30:00,,,03/25/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46,INSIDE,RESIDENCE - APT. HOUSE,NA,,1012119,252873,40.860716975,-73.899250317,"(40.860716975, -73.899250317)"
116603945,03/21/2007,18:00:00,03/25/2007,13:00:00,03/25/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,NA,THROGGS NECK,1033678,238650,40.821584683,-73.821415888,"(40.821584683, -73.821415888)"
486200477,03/22/2007,22:10:00,03/22/2007,22:19:00,03/23/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,69,FRONT OF,RESIDENCE-HOUSE,NA,,1012917,174213,40.64481289,-73.896700749,"(40.64481289, -73.896700749)"
625517270,03/21/2007,07:45:00,03/21/2007,08:15:00,03/21/2007,124,KIDNAPPING & RELATED OFFENSES,187,KIDNAPPING 1,COMPLETED,FELONY,N.Y. POLICE DEPT,STATEN ISLAND,120,,PARK/PLAYGROUND,NA,,962748,174174,40.644726131,-74.077483159,"(40.644726131, -74.077483159)"
736203287,03/20/2007,07:06:00,,,03/20/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,RESIDENCE - APT. HOUSE,NA,,997330,233660,40.808017131,-73.952752493,"(40.808017131, -73.952752493)"
748540666,03/20/2007,03:00:00,03/20/2007,17:00:00,03/20/2007,124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,113,,STREET,NA,,1046367,186986,40.679700408,-73.776047368,"(40.679700408, -73.776047368)"
585733839,02/25/2007,20:00:00,03/17/2007,16:35:00,03/17/2007,124,KIDNAPPING & RELATED OFFENSES,193,CUSTODIAL INTERFERENCE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,108,FRONT OF,RESIDENCE - APT. HOUSE,NA,,996793,210001,40.743080168,-73.954736461,"(40.743080168, -73.954736461)"
