CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
291324112,01/08/2014,20:14:00,,,01/08/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,105,INSIDE,,,,1054642,200172,40.715830826,-73.746075374,"(40.715830826, -73.746075374)"
454584707,01/08/2014,10:58:00,,,01/08/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,18,INSIDE,,,,988149,216376,40.760585967,-73.9859271,"(40.760585967, -73.9859271)"
473937447,01/08/2014,03:08:00,,,01/08/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,32,INSIDE,,,,999488,235746,40.813739163,-73.944952405,"(40.813739163, -73.944952405)"
313068135,01/07/2014,00:20:00,,,01/07/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,66,INSIDE,,,,990006,173131,40.641887554,-73.979260779,"(40.641887554, -73.979260779)"
604145395,01/05/2014,14:07:00,,,01/05/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,,43,INSIDE,,,CASTLE HILL,1025580,236918,40.816872438,-73.850684927,"(40.816872438, -73.850684927)"
601235974,01/05/2014,00:44:00,,,01/05/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,44,INSIDE,,,,1007307,244828,40.838649714,-73.916674162,"(40.838649714, -73.916674162)"
850591142,01/04/2014,22:30:00,,,01/04/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,73,OUTSIDE,,,,1007698,184270,40.672432491,-73.915472281,"(40.672432491, -73.915472281)"
530340842,01/04/2014,13:10:00,,,01/04/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,67,OUTSIDE,,,,1005166,181616,40.665154198,-73.924608275,"(40.665154198, -73.924608275)"
518033806,01/03/2014,16:10:00,,,01/03/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,113,OUTSIDE,,,,1046315,187088,40.679980738,-73.776233907,"(40.679980738, -73.776233907)"
721112146,01/02/2014,17:30:00,,,01/02/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,49,INSIDE,,,,1020075,255282,40.867300246,-73.870475195,"(40.867300246, -73.870475195)"
204734934,01/01/2014,02:54:00,,,01/01/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,83,OUTSIDE,,,,1009904,188287,40.683452127,-73.907504449,"(40.683452127, -73.907504449)"
630107409,01/01/2014,01:16:00,,,01/01/2014,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,113,INSIDE,,,,1041529,189746,40.687308587,-73.793466566,"(40.687308587, -73.793466566)"
165157660,12/31/2015,23:36:00,,,12/31/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,103,OUTSIDE,,,,1043991,193406,40.697338138,-73.784556739,"(40.697338138, -73.784556739)"
397189296,12/17/2004,15:02:00,,,12/31/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,70,OUTSIDE,,,,996108,176259,40.650467172,-73.957267875,"(40.650467172, -73.957267875)"
128755253,12/30/2015,02:45:00,,,12/30/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,52,OUTSIDE,,,,1019388,259017,40.877554428,-73.872939471,"(40.877554428, -73.872939471)"
979782302,07/21/1992,23:00:00,,,12/30/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,46,INSIDE,,,,1005725,249742,40.852141187,-73.922375722,"(40.852141187, -73.922375722)"
361837814,10/01/1969,23:59:00,,,12/29/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,,OUTSIDE,,,,,,,,
882311660,12/28/2015,17:30:00,,,12/28/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,,61,INSIDE,,,SHEEPSHEAD BAY,1001474,156112,40.595159063,-73.937981424,"(40.595159063, -73.937981424)"
803364889,12/28/2015,17:30:00,,,12/28/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. HOUSING POLICE,,61,INSIDE,,,SHEEPSHEAD BAY,1001474,156112,40.595159063,-73.937981424,"(40.595159063, -73.937981424)"
652596576,09/20/1979,03:34:00,,,12/28/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,70,INSIDE,,,,994970,162504,40.612714054,-73.961390818,"(40.612714054, -73.961390818)"
142001199,12/26/2015,16:30:00,,,12/26/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,103,OUTSIDE,,,,1041975,193412,40.697367986,-73.791826985,"(40.697367986, -73.791826985)"
215028922,12/24/2015,22:55:00,,,12/24/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,46,OUTSIDE,,,,1010778,251898,40.858045026,-73.904102113,"(40.858045026, -73.904102113)"
649004395,12/20/2015,09:21:00,,,12/20/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,52,OUTSIDE,,,,1010676,253888,40.863507281,-73.904463,"(40.863507281, -73.904463)"
276092707,12/19/2015,16:04:00,,,12/19/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,77,OUTSIDE,,,,1002388,185584,40.676051596,-73.934611088,"(40.676051596, -73.934611088)"
535053667,12/19/2015,06:11:00,,,12/19/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,,81,OUTSIDE,,,,1004509,186445,40.678410246,-73.926961963,"(40.678410246, -73.926961963)"
